,Charter/Cert,Report Date,Inst Type Code,Inst Name,Cash & Deposits,Investments,Net Interest Income,Loans & Leases,Assets,Non-Interest Expense,Liabilities,Liabilities & Equity,Interest Income,Non-Interest Income,Net Income,Deposit Accounts,Employees,Inst Type,Revenue,Cash to Assets,Inv to Assets,Loans to Assets,Interest to Revenue,Non-Interest to Revenue,Net Income to Revenue,Return on Assets,Other Assets,Interest Expense,Other Expense
180,Credit Union_1117,6/30/2024 0:00:00,1,WIDGET,46.0,112.0,6.0,245.0,437.0,8.0,396.0,437.0,8.0,4.0,2.0,75681,106.0,Credit Union,12.0,0.10526315789473684,0.2562929061784897,0.5606407322654462,0.6666666666666666,0.3333333333333333,0.16666666666666666,0.004576659038901602,34.0,2.0,0.0
181,Credit Union_1125,6/30/2024 0:00:00,1,VAN CORTLANDT COOPERATIVE,1.0,36.0,1.0,14.0,54.0,1.0,48.0,54.0,1.0,0.0,0.0,2993,5.0,Credit Union,1.0,0.018518518518518517,0.6666666666666666,0.25925925925925924,1.0,0.0,0.0,0.0,3.0,0.0,0.0
182,Credit Union_1127,6/30/2024 0:00:00,1,SALEM VA MEDICAL CENTER,15.0,0.0,2.0,63.0,92.0,2.0,83.0,92.0,2.0,1.0,1.0,13859,21.0,Credit Union,3.0,0.16304347826086957,0.0,0.6847826086956522,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.010869565217391304,14.0,0.0,0.0
185,Credit Union_1131,6/30/2024 0:00:00,1,ESSEX COUNTY TEACHERS,2.0,12.0,0.0,9.0,23.0,0.0,22.0,23.0,1.0,0.0,-0.0,6191,8.0,Credit Union,1.0,0.08695652173913043,0.5217391304347826,0.391304347826087,1.0,0.0,-0.0,-0.0,0.0,1.0,0.0
186,Credit Union_1133,6/30/2024 0:00:00,1,TRADEMARK,34.0,0.0,2.0,77.0,120.0,2.0,108.0,120.0,3.0,1.0,0.0,18166,27.0,Credit Union,4.0,0.2833333333333333,0.0,0.6416666666666667,0.75,0.25,0.0,0.0,9.0,1.0,1.0
188,Credit Union_1148,6/30/2024 0:00:00,1,COREPLUS,36.0,45.0,6.0,252.0,347.0,6.0,324.0,347.0,8.0,2.0,1.0,47149,68.0,Credit Union,10.0,0.1037463976945245,0.12968299711815562,0.7262247838616714,0.8,0.2,0.1,0.002881844380403458,14.0,2.0,1.0
191,Credit Union_1167,6/30/2024 0:00:00,1,FORT BILLINGS,3.0,26.0,1.0,32.0,63.0,1.0,59.0,63.0,1.0,0.0,-0.0,6563,17.0,Credit Union,1.0,0.047619047619047616,0.4126984126984127,0.5079365079365079,1.0,0.0,-0.0,-0.0,2.0,0.0,0.0
192,Credit Union_1172,6/30/2024 0:00:00,1,CORNER POST,45.0,20.0,1.0,27.0,95.0,1.0,81.0,95.0,2.0,0.0,1.0,10521,14.0,Credit Union,2.0,0.47368421052631576,0.21052631578947367,0.28421052631578947,1.0,0.0,0.5,0.010526315789473684,3.0,1.0,-1.0
193,Credit Union_1199,6/30/2024 0:00:00,1,BMI,42.0,94.0,8.0,536.0,709.0,9.0,645.0,709.0,15.0,8.0,6.0,83993,97.0,Credit Union,23.0,0.05923836389280677,0.1325811001410437,0.7559943582510579,0.6521739130434783,0.34782608695652173,0.2608695652173913,0.00846262341325811,37.0,7.0,1.0
194,Credit Union_1204,6/30/2024 0:00:00,1,RANCHO,32.0,12.0,2.0,61.0,108.0,2.0,100.0,108.0,2.0,1.0,-0.0,13741,20.0,Credit Union,3.0,0.2962962962962963,0.1111111111111111,0.5648148148148148,0.6666666666666666,0.3333333333333333,-0.0,-0.0,3.0,0.0,1.0
195,Credit Union_1207,6/30/2024 0:00:00,1,LOS ANGELES,32.0,322.0,19.0,891.0,1303.0,20.0,1210.0,1303.0,26.0,5.0,-0.0,131182,166.0,Credit Union,31.0,0.024558710667689946,0.24712202609363007,0.6838066001534919,0.8387096774193549,0.16129032258064516,-0.0,-0.0,58.0,7.0,4.0
197,Credit Union_1239,6/30/2024 0:00:00,1,PITTSBURGH CITY HALL EMPLOYEES,3.0,28.0,0.0,23.0,55.0,0.0,55.0,55.0,1.0,-0.0,-0.0,3285,6.0,Credit Union,1.0,0.05454545454545454,0.509090909090909,0.41818181818181815,1.0,-0.0,-0.0,-0.0,1.0,1.0,0.0
198,Credit Union_1245,6/30/2024 0:00:00,1,PINE BLUFF COTTON BELT,14.0,0.0,1.0,50.0,72.0,2.0,62.0,72.0,2.0,1.0,0.0,10925,24.0,Credit Union,3.0,0.19444444444444445,0.0,0.6944444444444444,0.6666666666666666,0.3333333333333333,0.0,0.0,8.0,1.0,0.0
200,Credit Union_1251,6/30/2024 0:00:00,1,NEW CENTURY,27.0,4.0,1.0,24.0,56.0,1.0,48.0,56.0,1.0,0.0,0.0,7145,10.0,Credit Union,1.0,0.48214285714285715,0.07142857142857142,0.42857142857142855,1.0,0.0,0.0,0.0,1.0,0.0,0.0
201,Credit Union_1257,6/30/2024 0:00:00,1,BATON ROUGE FIRE DEPARTMENT,11.0,4.0,1.0,56.0,73.0,1.0,57.0,73.0,2.0,0.0,0.0,10186,12.0,Credit Union,2.0,0.1506849315068493,0.0547945205479452,0.7671232876712328,1.0,0.0,0.0,0.0,2.0,1.0,0.0
