,Charter/Cert,Report Date,Inst Type Code,Inst Name,Cash & Deposits,Investments,Net Interest Income,Loans & Leases,Assets,Non-Interest Expense,Liabilities,Liabilities & Equity,Interest Income,Non-Interest Income,Net Income,Deposit Accounts,Employees,Inst Type,Revenue,Cash to Assets,Inv to Assets,Loans to Assets,Interest to Revenue,Non-Interest to Revenue,Net Income to Revenue,Return on Assets,Other Assets,Interest Expense,Other Expense
3014,Credit Union_61028,6/30/2024 0:00:00,2,NUCOR EMPLOYEE'S,22.0,0.0,1.0,40.0,64.0,1.0,54.0,64.0,2.0,0.0,1.0,15433,8.0,Credit Union,2.0,0.34375,0.0,0.625,1.0,0.0,0.5,0.015625,2.0,1.0,-1.0
3016,Credit Union_61048,6/30/2024 0:00:00,2,"OUCU FINANCIAL CREDIT UNION, INC. ",25.0,53.0,9.0,379.0,485.0,10.0,436.0,485.0,12.0,4.0,1.0,60249,101.0,Credit Union,16.0,0.05154639175257732,0.10927835051546392,0.7814432989690722,0.75,0.25,0.0625,0.002061855670103093,28.0,3.0,2.0
3020,Credit Union_61068,6/30/2024 0:00:00,2,PEOPLE DRIVEN,64.0,66.0,9.0,291.0,474.0,9.0,442.0,474.0,11.0,3.0,2.0,57013,102.0,Credit Union,14.0,0.1350210970464135,0.13924050632911392,0.6139240506329114,0.7857142857142857,0.21428571428571427,0.14285714285714285,0.004219409282700422,53.0,2.0,1.0
3021,Credit Union_61077,6/30/2024 0:00:00,2,SEVEN SEVENTEEN,86.0,100.0,32.0,1395.0,1680.0,32.0,1466.0,1680.0,46.0,12.0,7.0,205084,328.0,Credit Union,58.0,0.05119047619047619,0.05952380952380952,0.8303571428571429,0.7931034482758621,0.20689655172413793,0.1206896551724138,0.004166666666666667,99.0,14.0,5.0
3023,Credit Union_61088,6/30/2024 0:00:00,2,OKLAHOMA EDUCATORS,8.0,49.0,5.0,154.0,221.0,5.0,197.0,221.0,7.0,2.0,1.0,22143,87.0,Credit Union,9.0,0.03619909502262444,0.22171945701357465,0.6968325791855203,0.7777777777777778,0.2222222222222222,0.1111111111111111,0.004524886877828055,10.0,2.0,1.0
3024,Credit Union_61089,6/30/2024 0:00:00,2,HOMELAND,79.0,302.0,6.0,178.0,582.0,6.0,527.0,582.0,12.0,4.0,4.0,53354,63.0,Credit Union,16.0,0.13573883161512026,0.5189003436426117,0.30584192439862545,0.75,0.25,0.25,0.006872852233676976,23.0,6.0,0.0
3025,Credit Union_61090,6/30/2024 0:00:00,2,SHAREFAX,18.0,89.0,5.0,354.0,503.0,7.0,455.0,503.0,10.0,3.0,0.0,61397,70.0,Credit Union,13.0,0.03578528827037773,0.17693836978131214,0.7037773359840954,0.7692307692307693,0.23076923076923078,0.0,0.0,42.0,5.0,1.0
3026,Credit Union_61093,6/30/2024 0:00:00,2,VIBRANT,49.0,104.0,12.0,771.0,1019.0,17.0,953.0,1019.0,23.0,7.0,1.0,101412,156.0,Credit Union,30.0,0.04808635917566242,0.10206084396467124,0.7566241413150148,0.7666666666666667,0.23333333333333334,0.03333333333333333,0.0009813542688910696,95.0,11.0,1.0
3027,Credit Union_61094,6/30/2024 0:00:00,2,COMMUNITY FIRST,13.0,36.0,1.0,41.0,93.0,1.0,81.0,93.0,2.0,0.0,0.0,10455,17.0,Credit Union,2.0,0.13978494623655913,0.3870967741935484,0.44086021505376344,1.0,0.0,0.0,0.0,3.0,1.0,0.0
3029,Credit Union_61123,6/30/2024 0:00:00,2,LOUISVILLE GAS AND ELECTRIC COMPANY,17.0,0.0,1.0,27.0,46.0,1.0,39.0,46.0,1.0,0.0,0.0,5061,7.0,Credit Union,1.0,0.3695652173913043,0.0,0.5869565217391305,1.0,0.0,0.0,0.0,2.0,0.0,0.0
3030,Credit Union_61128,6/30/2024 0:00:00,2,ROLLING F,20.0,11.0,1.0,35.0,68.0,1.0,61.0,68.0,1.0,0.0,0.0,7630,11.0,Credit Union,1.0,0.29411764705882354,0.16176470588235295,0.5147058823529411,1.0,0.0,0.0,0.0,2.0,0.0,0.0
3031,Credit Union_61135,6/30/2024 0:00:00,2,SPACE CITY,20.0,8.0,2.0,100.0,141.0,4.0,122.0,141.0,4.0,1.0,-0.0,20702,42.0,Credit Union,5.0,0.14184397163120568,0.05673758865248227,0.7092198581560284,0.8,0.2,-0.0,-0.0,13.0,2.0,-1.0
3033,Credit Union_61150,6/30/2024 0:00:00,2,WCU CREDIT UNION,11.0,4.0,1.0,18.0,35.0,1.0,32.0,35.0,1.0,0.0,0.0,6068,13.0,Credit Union,1.0,0.3142857142857143,0.11428571428571428,0.5142857142857142,1.0,0.0,0.0,0.0,2.0,0.0,0.0
3034,Credit Union_61152,6/30/2024 0:00:00,2,RIVER TO RIVER,13.0,0.0,1.0,13.0,27.0,0.0,24.0,27.0,1.0,0.0,0.0,4025,5.0,Credit Union,1.0,0.48148148148148145,0.0,0.48148148148148145,1.0,0.0,0.0,0.0,1.0,0.0,1.0
3035,Credit Union_61157,6/30/2024 0:00:00,2,FOUNDATION,9.0,4.0,1.0,54.0,69.0,1.0,59.0,69.0,2.0,0.0,0.0,4594,11.0,Credit Union,2.0,0.13043478260869565,0.057971014492753624,0.782608695652174,1.0,0.0,0.0,0.0,2.0,1.0,0.0
3036,Credit Union_61159,6/30/2024 0:00:00,2,SECURITY,19.0,87.0,13.0,484.0,630.0,14.0,583.0,630.0,16.0,4.0,1.0,88016,152.0,Credit Union,20.0,0.03015873015873016,0.1380952380952381,0.7682539682539683,0.8,0.2,0.05,0.0015873015873015873,40.0,3.0,2.0
3037,Credit Union_61160,6/30/2024 0:00:00,2,MEMBERS FIRST CREDIT UNION OF FLORI,98.0,32.0,6.0,141.0,292.0,5.0,256.0,292.0,7.0,2.0,2.0,39072,74.0,Credit Union,9.0,0.3356164383561644,0.1095890410958904,0.4828767123287671,0.7777777777777778,0.2222222222222222,0.2222222222222222,0.00684931506849315,21.0,1.0,1.0
3038,Credit Union_61165,6/30/2024 0:00:00,2,LOS ALAMOS SCHOOLS,7.0,0.0,1.0,22.0,32.0,0.0,29.0,32.0,1.0,0.0,0.0,3906,5.0,Credit Union,1.0,0.21875,0.0,0.6875,1.0,0.0,0.0,0.0,3.0,0.0,1.0
3039,Credit Union_61170,6/30/2024 0:00:00,2,FIRST FLORIDA,89.0,305.0,18.0,904.0,1370.0,20.0,1234.0,1370.0,29.0,8.0,2.0,121279,205.0,Credit Union,37.0,0.06496350364963503,0.22262773722627738,0.6598540145985401,0.7837837837837838,0.21621621621621623,0.05405405405405406,0.00145985401459854,72.0,11.0,4.0
3040,Credit Union_61185,6/30/2024 0:00:00,2,LEADERS CREDIT UNION,88.0,2.0,17.0,925.0,1070.0,20.0,963.0,1070.0,31.0,13.0,7.0,140474,195.0,Credit Union,44.0,0.08224299065420561,0.001869158878504673,0.8644859813084113,0.7045454545454546,0.29545454545454547,0.1590909090909091,0.0065420560747663555,55.0,14.0,3.0
3041,Credit Union_61186,6/30/2024 0:00:00,2,UNITED BAY COMMUNITY,20.0,13.0,5.0,230.0,283.0,6.0,263.0,283.0,6.0,1.0,0.0,57119,73.0,Credit Union,7.0,0.0706713780918728,0.045936395759717315,0.8127208480565371,0.8571428571428571,0.14285714285714285,0.0,0.0,20.0,1.0,0.0
3042,Credit Union_61189,6/30/2024 0:00:00,2,ARRHA,22.0,7.0,2.0,110.0,148.0,2.0,135.0,148.0,3.0,1.0,-0.0,13279,25.0,Credit Union,4.0,0.14864864864864866,0.0472972972972973,0.7432432432432432,0.75,0.25,-0.0,-0.0,9.0,1.0,1.0
3043,Credit Union_61209,6/30/2024 0:00:00,2,CHICAGO FIREFIGHTER'S,18.0,0.0,2.0,54.0,75.0,1.0,63.0,75.0,2.0,0.0,1.0,7579,7.0,Credit Union,2.0,0.24,0.0,0.72,1.0,0.0,0.5,0.013333333333333334,3.0,0.0,0.0
3044,Credit Union_61219,6/30/2024 0:00:00,2,KALSEE,11.0,42.0,5.0,200.0,276.0,7.0,254.0,276.0,7.0,3.0,1.0,51021,85.0,Credit Union,10.0,0.03985507246376811,0.15217391304347827,0.7246376811594203,0.7,0.3,0.1,0.0036231884057971015,23.0,2.0,0.0
3045,Credit Union_61220,6/30/2024 0:00:00,2,GEAUGA,10.0,2.0,1.0,62.0,76.0,1.0,67.0,76.0,2.0,0.0,1.0,9753,10.0,Credit Union,2.0,0.13157894736842105,0.02631578947368421,0.8157894736842105,1.0,0.0,0.5,0.013157894736842105,2.0,1.0,-1.0
3046,Credit Union_61230,6/30/2024 0:00:00,2,ACME CONTINENTAL,20.0,15.0,1.0,19.0,56.0,1.0,45.0,56.0,1.0,0.0,0.0,7755,8.0,Credit Union,1.0,0.35714285714285715,0.26785714285714285,0.3392857142857143,1.0,0.0,0.0,0.0,2.0,0.0,0.0
3047,Credit Union_61231,6/30/2024 0:00:00,2,FINANCIAL PLUS,60.0,90.0,9.0,318.0,512.0,9.0,450.0,512.0,11.0,4.0,3.0,77685,91.0,Credit Union,15.0,0.1171875,0.17578125,0.62109375,0.7333333333333333,0.26666666666666666,0.2,0.005859375,44.0,2.0,1.0
3050,Credit Union_61239,6/30/2024 0:00:00,2,GOLDEN CIRCLE,24.0,23.0,2.0,50.0,106.0,2.0,91.0,106.0,2.0,0.0,1.0,12134,26.0,Credit Union,2.0,0.22641509433962265,0.2169811320754717,0.4716981132075472,1.0,0.0,0.5,0.009433962264150943,9.0,0.0,-1.0
3051,Credit Union_61256,6/30/2024 0:00:00,2,ACHIEVE FINANCIAL,9.0,40.0,3.0,126.0,186.0,4.0,175.0,186.0,4.0,2.0,-0.0,35174,33.0,Credit Union,6.0,0.04838709677419355,0.21505376344086022,0.6774193548387096,0.6666666666666666,0.3333333333333333,-0.0,-0.0,11.0,1.0,1.0
3052,Credit Union_61257,6/30/2024 0:00:00,2,NORTHRIDGE COMMUNITY,12.0,3.0,3.0,82.0,106.0,3.0,92.0,106.0,3.0,1.0,1.0,15533,30.0,Credit Union,4.0,0.11320754716981132,0.02830188679245283,0.7735849056603774,0.75,0.25,0.25,0.009433962264150943,9.0,0.0,0.0
3053,Credit Union_61260,6/30/2024 0:00:00,2,PALMETTO HEALTH,16.0,22.0,2.0,49.0,92.0,2.0,75.0,92.0,2.0,1.0,1.0,19280,21.0,Credit Union,3.0,0.17391304347826086,0.2391304347826087,0.532608695652174,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.010869565217391304,5.0,0.0,0.0
3060,Credit Union_61286,6/30/2024 0:00:00,2,MOBILE EDUCATORS,74.0,7.0,1.0,16.0,106.0,2.0,94.0,106.0,2.0,1.0,0.0,13029,17.0,Credit Union,3.0,0.6981132075471698,0.0660377358490566,0.1509433962264151,0.6666666666666666,0.3333333333333333,0.0,0.0,9.0,1.0,0.0
3063,Credit Union_61315,6/30/2024 0:00:00,2,ONEAZ,221.0,761.0,56.0,2214.0,3317.0,56.0,3077.0,3317.0,76.0,19.0,15.0,404116,463.0,Credit Union,95.0,0.06662646970153753,0.22942417847452518,0.6674706059692493,0.8,0.2,0.15789473684210525,0.004522158577027435,121.0,20.0,4.0
3064,Credit Union_61318,6/30/2024 0:00:00,2,ISABELLA COMMUNITY,47.0,37.0,3.0,110.0,204.0,4.0,189.0,204.0,4.0,1.0,0.0,33268,39.0,Credit Union,5.0,0.23039215686274508,0.18137254901960784,0.5392156862745098,0.8,0.2,0.0,0.0,10.0,1.0,0.0
3066,Credit Union_61330,6/30/2024 0:00:00,2,NEWPORT NEWS SHIPBUILDING EMPLOYEES,83.0,378.0,44.0,1953.0,2563.0,50.0,2330.0,2563.0,69.0,22.0,6.0,316649,469.0,Credit Union,91.0,0.03238392508778775,0.14748341786968397,0.7619976589933671,0.7582417582417582,0.24175824175824176,0.06593406593406594,0.0023410066328521262,149.0,25.0,10.0
3069,Credit Union_61365,6/30/2024 0:00:00,2,4FRONT,30.0,144.0,21.0,757.0,1045.0,25.0,959.0,1045.0,29.0,9.0,2.0,208950,282.0,Credit Union,38.0,0.028708133971291867,0.13779904306220095,0.724401913875598,0.7631578947368421,0.23684210526315788,0.05263157894736842,0.0019138755980861245,114.0,8.0,3.0
3070,Credit Union_61368,6/30/2024 0:00:00,2,SHERWIN WILLIAMS EMP.,11.0,13.0,0.0,7.0,32.0,1.0,29.0,32.0,0.0,1.0,0.0,5762,8.0,Credit Union,1.0,0.34375,0.40625,0.21875,0.0,1.0,0.0,0.0,1.0,0.0,0.0
3071,Credit Union_61383,6/30/2024 0:00:00,2,ADVANTAGE,4.0,11.0,1.0,24.0,41.0,1.0,39.0,41.0,1.0,0.0,0.0,6562,13.0,Credit Union,1.0,0.0975609756097561,0.2682926829268293,0.5853658536585366,1.0,0.0,0.0,0.0,2.0,0.0,0.0
3072,Credit Union_61387,6/30/2024 0:00:00,2,BHCU,13.0,50.0,3.0,169.0,245.0,3.0,220.0,245.0,6.0,1.0,0.0,18224,27.0,Credit Union,7.0,0.053061224489795916,0.20408163265306123,0.689795918367347,0.8571428571428571,0.14285714285714285,0.0,0.0,13.0,3.0,1.0
3073,Credit Union_61391,6/30/2024 0:00:00,2,SOCIAL SECURITY,14.0,4.0,1.0,14.0,33.0,1.0,26.0,33.0,1.0,0.0,0.0,5082,5.0,Credit Union,1.0,0.42424242424242425,0.12121212121212122,0.42424242424242425,1.0,0.0,0.0,0.0,1.0,0.0,0.0
3075,Credit Union_61404,6/30/2024 0:00:00,2,LOC,37.0,136.0,7.0,248.0,447.0,7.0,414.0,447.0,9.0,2.0,2.0,60244,87.0,Credit Union,11.0,0.08277404921700224,0.3042505592841163,0.5548098434004475,0.8181818181818182,0.18181818181818182,0.18181818181818182,0.0044742729306487695,26.0,2.0,0.0
3076,Credit Union_61405,6/30/2024 0:00:00,2,AEROQUIP,4.0,17.0,1.0,28.0,52.0,1.0,45.0,52.0,1.0,0.0,0.0,7689,13.0,Credit Union,1.0,0.07692307692307693,0.3269230769230769,0.5384615384615384,1.0,0.0,0.0,0.0,3.0,0.0,0.0
3078,Credit Union_61437,6/30/2024 0:00:00,2,COMMONWEALTH,159.0,275.0,36.0,1731.0,2268.0,39.0,2045.0,2268.0,57.0,26.0,15.0,314122,359.0,Credit Union,83.0,0.0701058201058201,0.12125220458553791,0.7632275132275133,0.6867469879518072,0.3132530120481928,0.18072289156626506,0.006613756613756613,103.0,21.0,8.0
3079,Credit Union_61438,6/30/2024 0:00:00,2,SPCO,1.0,0.0,1.0,31.0,37.0,1.0,34.0,37.0,1.0,0.0,-0.0,3809,7.0,Credit Union,1.0,0.02702702702702703,0.0,0.8378378378378378,1.0,0.0,-0.0,-0.0,5.0,0.0,0.0
3080,Credit Union_61447,6/30/2024 0:00:00,2,NUMARK,96.0,10.0,14.0,592.0,778.0,15.0,695.0,778.0,21.0,5.0,3.0,120294,167.0,Credit Union,26.0,0.12339331619537275,0.012853470437017995,0.7609254498714653,0.8076923076923077,0.19230769230769232,0.11538461538461539,0.0038560411311053984,80.0,7.0,1.0
3082,Credit Union_61453,6/30/2024 0:00:00,2,HI-LAND,11.0,0.0,0.0,40.0,54.0,1.0,43.0,54.0,1.0,0.0,-0.0,4536,4.0,Credit Union,1.0,0.2037037037037037,0.0,0.7407407407407407,1.0,0.0,-0.0,-0.0,3.0,1.0,-1.0
3083,Credit Union_61457,6/30/2024 0:00:00,2,PRIORITY TRUST,21.0,0.0,4.0,137.0,194.0,6.0,173.0,194.0,4.0,4.0,0.0,45000,73.0,Credit Union,8.0,0.10824742268041238,0.0,0.7061855670103093,0.5,0.5,0.0,0.0,36.0,0.0,2.0
3085,Credit Union_61495,6/30/2024 0:00:00,2,ONE DETROIT,12.0,16.0,2.0,35.0,64.0,4.0,51.0,64.0,2.0,2.0,-0.0,23404,45.0,Credit Union,4.0,0.1875,0.25,0.546875,0.5,0.5,-0.0,-0.0,1.0,0.0,0.0
3086,Credit Union_61503,6/30/2024 0:00:00,2,ADVIA,149.0,302.0,39.0,2309.0,2980.0,46.0,2703.0,2980.0,83.0,19.0,8.0,413105,511.0,Credit Union,102.0,0.05,0.10134228187919463,0.7748322147651007,0.8137254901960784,0.18627450980392157,0.0784313725490196,0.0026845637583892616,220.0,44.0,4.0
3089,Credit Union_61522,6/30/2024 0:00:00,2,VIBE,289.0,182.0,20.0,871.0,1431.0,24.0,1304.0,1431.0,32.0,11.0,5.0,178123,231.0,Credit Union,43.0,0.20195667365478687,0.12718378756114604,0.6086652690426275,0.7441860465116279,0.2558139534883721,0.11627906976744186,0.0034940600978336828,89.0,12.0,2.0
3090,Credit Union_61525,6/30/2024 0:00:00,2,WE FLORIDA FINANCIAL,54.0,59.0,10.0,607.0,760.0,15.0,710.0,760.0,19.0,9.0,0.0,95511,124.0,Credit Union,28.0,0.07105263157894737,0.07763157894736843,0.7986842105263158,0.6785714285714286,0.32142857142857145,0.0,0.0,40.0,9.0,4.0
3091,Credit Union_61527,6/30/2024 0:00:00,2,TEXOMA COMMUNITY,34.0,1.0,6.0,228.0,281.0,7.0,249.0,281.0,8.0,3.0,1.0,42211,83.0,Credit Union,11.0,0.12099644128113879,0.0035587188612099642,0.8113879003558719,0.7272727272727273,0.2727272727272727,0.09090909090909091,0.0035587188612099642,18.0,2.0,1.0
3098,Credit Union_61598,6/30/2024 0:00:00,2,SAFE 1,132.0,76.0,16.0,754.0,1022.0,12.0,878.0,1022.0,23.0,5.0,6.0,150654,128.0,Credit Union,28.0,0.12915851272015655,0.07436399217221135,0.7377690802348337,0.8214285714285714,0.17857142857142858,0.21428571428571427,0.005870841487279843,60.0,7.0,3.0
3100,Credit Union_61619,6/30/2024 0:00:00,2,FINANCIALEDGE ,31.0,11.0,2.0,77.0,125.0,3.0,110.0,125.0,3.0,1.0,1.0,19165,31.0,Credit Union,4.0,0.248,0.088,0.616,0.75,0.25,0.25,0.008,6.0,1.0,-1.0
3101,Credit Union_61620,6/30/2024 0:00:00,2,FIRSTENERGY FAMILY,10.0,3.0,1.0,29.0,43.0,0.0,37.0,43.0,1.0,0.0,0.0,4797,4.0,Credit Union,1.0,0.23255813953488372,0.06976744186046512,0.6744186046511628,1.0,0.0,0.0,0.0,1.0,0.0,1.0
3102,Credit Union_61623,6/30/2024 0:00:00,2,KEMBA FINANCIAL,84.0,419.0,35.0,1646.0,2250.0,35.0,2006.0,2250.0,61.0,13.0,8.0,323316,299.0,Credit Union,74.0,0.037333333333333336,0.18622222222222223,0.7315555555555555,0.8243243243243243,0.17567567567567569,0.10810810810810811,0.0035555555555555557,101.0,26.0,5.0
3103,Credit Union_61624,6/30/2024 0:00:00,2,GREATER COMMUNITY,77.0,24.0,4.0,161.0,267.0,2.0,215.0,267.0,7.0,0.0,2.0,20915,20.0,Credit Union,7.0,0.2883895131086142,0.0898876404494382,0.602996254681648,1.0,0.0,0.2857142857142857,0.00749063670411985,5.0,3.0,0.0
3104,Credit Union_61631,6/30/2024 0:00:00,2,MICHIGAN COASTAL,2.0,0.0,1.0,25.0,28.0,1.0,26.0,28.0,1.0,0.0,-0.0,5331,8.0,Credit Union,1.0,0.07142857142857142,0.0,0.8928571428571429,1.0,0.0,-0.0,-0.0,1.0,0.0,0.0
3105,Credit Union_61633,6/30/2024 0:00:00,2,FAMILY FINANCIAL,15.0,33.0,3.0,100.0,156.0,3.0,139.0,156.0,3.0,1.0,0.0,29857,32.0,Credit Union,4.0,0.09615384615384616,0.21153846153846154,0.6410256410256411,0.75,0.25,0.0,0.0,8.0,0.0,1.0
3106,Credit Union_61634,6/30/2024 0:00:00,2,ILLINOIS COMMUNITY,9.0,0.0,2.0,98.0,120.0,3.0,106.0,120.0,3.0,1.0,-0.0,21960,37.0,Credit Union,4.0,0.075,0.0,0.8166666666666667,0.75,0.25,-0.0,-0.0,13.0,1.0,0.0
3107,Credit Union_61636,6/30/2024 0:00:00,2,NORTH DISTRICTS,27.0,0.0,1.0,17.0,45.0,1.0,39.0,45.0,1.0,0.0,0.0,5480,5.0,Credit Union,1.0,0.6,0.0,0.37777777777777777,1.0,0.0,0.0,0.0,1.0,0.0,0.0
3108,Credit Union_61637,6/30/2024 0:00:00,2,CAPITAL,47.0,78.0,12.0,595.0,772.0,13.0,675.0,772.0,18.0,5.0,3.0,88213,141.0,Credit Union,23.0,0.06088082901554404,0.10103626943005181,0.7707253886010362,0.782608695652174,0.21739130434782608,0.13043478260869565,0.0038860103626943004,52.0,6.0,1.0
3109,Credit Union_61638,6/30/2024 0:00:00,2,LAKE HURON,10.0,9.0,2.0,57.0,81.0,2.0,70.0,81.0,2.0,0.0,0.0,16887,26.0,Credit Union,2.0,0.12345679012345678,0.1111111111111111,0.7037037037037037,1.0,0.0,0.0,0.0,5.0,0.0,0.0
3110,Credit Union_61643,6/30/2024 0:00:00,2,PLANITES,19.0,0.0,0.0,19.0,38.0,1.0,34.0,38.0,1.0,0.0,0.0,7111,7.0,Credit Union,1.0,0.5,0.0,0.5,1.0,0.0,0.0,0.0,0.0,1.0,-1.0
3111,Credit Union_61648,6/30/2024 0:00:00,2,HOMETOWN,22.0,8.0,3.0,164.0,199.0,2.0,169.0,199.0,6.0,0.0,1.0,9440,34.0,Credit Union,6.0,0.11055276381909548,0.04020100502512563,0.8241206030150754,1.0,0.0,0.16666666666666666,0.005025125628140704,5.0,3.0,0.0
3112,Credit Union_61650,6/30/2024 0:00:00,2,THE GOLDEN 1,1371.0,3591.0,281.0,14102.0,19323.0,220.0,17735.0,19323.0,448.0,51.0,56.0,2410693,2065.0,Credit Union,499.0,0.07095171557211613,0.18584070796460178,0.7298038606841588,0.8977955911823647,0.10220440881763528,0.11222444889779559,0.002898100708999638,259.0,167.0,56.0
3113,Credit Union_61657,6/30/2024 0:00:00,2,UNITED FINANCIAL,17.0,86.0,4.0,195.0,317.0,5.0,292.0,317.0,6.0,2.0,1.0,48585,57.0,Credit Union,8.0,0.05362776025236593,0.27129337539432175,0.6151419558359621,0.75,0.25,0.125,0.0031545741324921135,19.0,2.0,0.0
3114,Credit Union_61664,6/30/2024 0:00:00,2,RIVER VALLEY,32.0,0.0,1.0,69.0,106.0,1.0,94.0,106.0,2.0,0.0,0.0,13703,14.0,Credit Union,2.0,0.3018867924528302,0.0,0.6509433962264151,1.0,0.0,0.0,0.0,5.0,1.0,0.0
3115,Credit Union_61667,6/30/2024 0:00:00,2,COMMUNITY FIRST,162.0,47.0,13.0,572.0,815.0,14.0,738.0,815.0,19.0,4.0,2.0,86872,149.0,Credit Union,23.0,0.19877300613496932,0.05766871165644172,0.701840490797546,0.8260869565217391,0.17391304347826086,0.08695652173913043,0.00245398773006135,34.0,6.0,1.0
3116,Credit Union_61677,6/30/2024 0:00:00,2,COMMUNITY WEST,32.0,58.0,3.0,151.0,257.0,5.0,243.0,257.0,5.0,2.0,-0.0,45721,66.0,Credit Union,7.0,0.1245136186770428,0.22568093385214008,0.5875486381322957,0.7142857142857143,0.2857142857142857,-0.0,-0.0,16.0,2.0,0.0
3117,Credit Union_61682,6/30/2024 0:00:00,2,SISKIYOU,11.0,21.0,3.0,102.0,145.0,2.0,134.0,145.0,4.0,1.0,0.0,17967,25.0,Credit Union,5.0,0.07586206896551724,0.14482758620689656,0.7034482758620689,0.8,0.2,0.0,0.0,11.0,1.0,2.0
3118,Credit Union_61693,6/30/2024 0:00:00,2,RURAL COOPERATIVES,21.0,0.0,1.0,13.0,35.0,1.0,30.0,35.0,1.0,0.0,-0.0,5881,11.0,Credit Union,1.0,0.6,0.0,0.37142857142857144,1.0,0.0,-0.0,-0.0,1.0,0.0,0.0
3120,Credit Union_61698,6/30/2024 0:00:00,2,MICHIGAN UNITED,74.0,42.0,5.0,215.0,349.0,6.0,314.0,349.0,7.0,1.0,1.0,43115,75.0,Credit Union,8.0,0.21203438395415472,0.12034383954154727,0.6160458452722063,0.875,0.125,0.125,0.0028653295128939827,18.0,2.0,-1.0
3121,Credit Union_61701,6/30/2024 0:00:00,2,LINCOLN PARK COMMUNITY,4.0,46.0,1.0,12.0,64.0,1.0,59.0,64.0,1.0,0.0,0.0,5647,8.0,Credit Union,1.0,0.0625,0.71875,0.1875,1.0,0.0,0.0,0.0,2.0,0.0,0.0
3122,Credit Union_61708,6/30/2024 0:00:00,2,ARBOR FINANCIAL,100.0,82.0,12.0,735.0,973.0,17.0,912.0,973.0,21.0,7.0,3.0,111215,181.0,Credit Union,28.0,0.10277492291880781,0.0842754367934224,0.7553956834532374,0.75,0.25,0.10714285714285714,0.003083247687564234,56.0,9.0,-1.0
3124,Credit Union_61734,6/30/2024 0:00:00,2,RIO GRANDE VALLEY CREDIT UNION,38.0,32.0,3.0,78.0,156.0,3.0,141.0,156.0,3.0,1.0,1.0,33242,41.0,Credit Union,4.0,0.24358974358974358,0.20512820512820512,0.5,0.75,0.25,0.25,0.00641025641025641,8.0,0.0,0.0
3125,Credit Union_61741,6/30/2024 0:00:00,2,COMMONWEALTH CENTRAL,82.0,10.0,13.0,499.0,627.0,11.0,551.0,627.0,14.0,2.0,4.0,68151,96.0,Credit Union,16.0,0.13078149920255183,0.01594896331738437,0.79585326953748,0.875,0.125,0.25,0.006379585326953748,36.0,1.0,0.0
3126,Credit Union_61748,6/30/2024 0:00:00,2,MONROE COMMUNITY,41.0,68.0,6.0,233.0,359.0,6.0,327.0,359.0,7.0,2.0,2.0,60356,70.0,Credit Union,9.0,0.11420612813370473,0.1894150417827298,0.649025069637883,0.7777777777777778,0.2222222222222222,0.2222222222222222,0.005571030640668524,17.0,1.0,0.0
3127,Credit Union_61755,6/30/2024 0:00:00,2,FRANKENMUTH,142.0,23.0,23.0,1045.0,1332.0,30.0,1205.0,1332.0,34.0,16.0,7.0,173841,378.0,Credit Union,50.0,0.1066066066066066,0.017267267267267267,0.7845345345345346,0.68,0.32,0.14,0.005255255255255256,122.0,11.0,2.0
3128,Credit Union_61756,6/30/2024 0:00:00,2,FIRST AREA,7.0,17.0,0.0,18.0,43.0,1.0,41.0,43.0,1.0,0.0,-0.0,5704,8.0,Credit Union,1.0,0.16279069767441862,0.3953488372093023,0.4186046511627907,1.0,0.0,-0.0,-0.0,1.0,1.0,-1.0
3129,Credit Union_61758,6/30/2024 0:00:00,2,WESTERN COOPERATIVE,49.0,129.0,8.0,245.0,450.0,6.0,406.0,450.0,9.0,3.0,4.0,45263,89.0,Credit Union,12.0,0.10888888888888888,0.2866666666666667,0.5444444444444444,0.75,0.25,0.3333333333333333,0.008888888888888889,27.0,1.0,1.0
3130,Credit Union_61759,6/30/2024 0:00:00,2,ALLIANCE CATHOLIC,40.0,218.0,9.0,309.0,624.0,12.0,570.0,624.0,12.0,4.0,1.0,66352,128.0,Credit Union,16.0,0.0641025641025641,0.34935897435897434,0.4951923076923077,0.75,0.25,0.0625,0.0016025641025641025,57.0,3.0,0.0
3133,Credit Union_61778,6/30/2024 0:00:00,2,RED WING,25.0,42.0,3.0,103.0,179.0,2.0,162.0,179.0,4.0,1.0,1.0,20852,22.0,Credit Union,5.0,0.13966480446927373,0.2346368715083799,0.5754189944134078,0.8,0.2,0.2,0.00558659217877095,9.0,1.0,1.0
3134,Credit Union_61779,6/30/2024 0:00:00,2,SLO,2.0,12.0,1.0,18.0,33.0,1.0,29.0,33.0,1.0,0.0,-0.0,2901,6.0,Credit Union,1.0,0.06060606060606061,0.36363636363636365,0.5454545454545454,1.0,0.0,-0.0,-0.0,1.0,0.0,0.0
3136,Credit Union_61790,6/30/2024 0:00:00,2,BLUCURRENT,31.0,3.0,7.0,276.0,339.0,7.0,305.0,339.0,10.0,2.0,1.0,48757,75.0,Credit Union,12.0,0.09144542772861357,0.008849557522123894,0.8141592920353983,0.8333333333333334,0.16666666666666666,0.08333333333333333,0.0029498525073746312,29.0,3.0,1.0
